"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","gene_name"
"ENSG00000135679.25",27490.8757472918,2.51152797686941,0.132658582367683,18.9322690778373,6.18403704868013e-80,1.15956878699801e-75,"protein_coding","MDM2"
"ENSG00000080546.13",1999.841453898,2.39185770563871,0.128416113775369,18.6258377965141,1.98363741977152e-77,1.85975926290679e-73,"protein_coding","SESN1"
"ENSG00000261804.2",261.071899692113,4.51546325462651,0.260419575132677,17.339185244911,2.38087835159235e-67,1.48812833235694e-63,"lncRNA","AC007342.4"
"ENSG00000145012.13",4266.35806988772,-2.36930283365642,0.151422283683959,-15.6469891749982,3.48313072390566e-55,1.63280460509888e-51,"protein_coding","LPP"
"ENSG00000170855.4",3445.15083641614,1.7570493127185,0.113910411565186,15.42483508378,1.11439459683278e-53,4.1792026170423e-50,"protein_coding","TRIAP1"
"ENSG00000134574.12",2828.40703493922,1.6322163218681,0.106664893197504,15.3022824374449,7.38216353533727e-53,2.30704914085182e-49,"protein_coding","DDB2"
"ENSG00000064115.11",6379.24610239496,1.70234894868102,0.112792664515659,15.0927274924398,1.80810796051728e-51,4.84340462395136e-48,"protein_coding","TM7SF3"
"ENSG00000133195.11",761.829786992536,-1.74401710841763,0.117241564659815,-14.8754165255132,4.76013340344325e-50,1.11571576809956e-46,"protein_coding","SLC39A11"
"ENSG00000171469.11",961.449827664032,1.69974461700806,0.115473317798846,14.7198041020093,4.81051822934544e-49,1.00224474798285e-45,"protein_coding","ZNF561"
"ENSG00000136003.15",3469.84337611306,1.63240035420826,0.111721867165809,14.6112877954821,2.37976747079621e-48,4.46230198448997e-45,"protein_coding","ISCU"
"ENSG00000196072.12",2756.2320731427,1.85976329732857,0.128182790749258,14.5086815980353,1.06752677552251e-47,1.81974496071114e-44,"protein_coding","BLOC1S2"
"ENSG00000186529.16",401.114358945058,3.88647466039526,0.27421551686347,14.1730661519432,1.34497393119951e-45,2.10163384866017e-42,"protein_coding","CYP4F3"
"ENSG00000136048.14",504.334977103504,2.2271989957364,0.159862406707257,13.9319746375074,4.05001385237222e-44,5.84167767275627e-41,"protein_coding","DRAM1"
