"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","gene_name"
"ENSG00000080546.13",1999.841453898,2.96874261280283,0.131428928943405,22.5881975655544,5.66106244378098e-113,1.06150581883337e-108,"protein_coding","SESN1"
"ENSG00000135679.25",27490.8757472918,2.97319855453783,0.132805569318912,22.3876044490134,5.19784812182889e-111,4.87324250662067e-107,"protein_coding","MDM2"
"ENSG00000136003.15",3469.84337611306,1.95814161175763,0.112508552751218,17.4043800571102,7.64289158642667e-68,4.77706200456955e-64,"protein_coding","ISCU"
"ENSG00000124762.14",5381.71946547895,4.01666209475711,0.239743075370329,16.7540275711931,5.29191152402283e-63,2.4807158246738e-59,"protein_coding","CDKN1A"
"ENSG00000171469.11",961.449827664032,1.95464178072547,0.118786048716352,16.4551460533294,7.70358334520648e-61,2.88899782611933e-57,"protein_coding","ZNF561"
"ENSG00000170855.4",3445.15083641614,1.88439618322083,0.114646654720013,16.4365561980231,1.04702064434082e-60,3.27211401700578e-57,"protein_coding","TRIAP1"
"ENSG00000064115.11",6379.24610239496,1.84454471312691,0.112806263009422,16.3514388644613,4.24828793053101e-60,1.1379949569341e-56,"protein_coding","TM7SF3"
"ENSG00000136048.14",504.334977103504,2.55415232786165,0.162687962105294,15.6997007941409,1.51957065370847e-55,3.56168366596093e-52,"protein_coding","DRAM1"
"ENSG00000145012.13",4266.35806988772,-2.33962231728768,0.150304694329702,-15.5658632467965,1.24183317770941e-54,2.40310522433079e-51,"protein_coding","LPP"
"ENSG00000196072.12",2756.2320731427,2.00892821375258,0.129076584593024,15.5638469989479,1.28158776829545e-54,2.40310522433079e-51,"protein_coding","BLOC1S2"
"ENSG00000134574.12",2828.40703493922,1.63469054356992,0.106947820108349,15.2849356061097,9.63581773664963e-53,1.64255653072652e-49,"protein_coding","DDB2"
"ENSG00000161509.14",153.4274681269,4.30854048314562,0.285851371183764,15.0726598417323,2.45045632264178e-51,3.41068509656967e-48,"protein_coding","GRIN2C"
"ENSG00000161513.12",4111.65684795466,3.48558584239128,0.23129118351535,15.07011979192,2.54650905828891e-51,3.41068509656967e-48,"protein_coding","FDXR"
"ENSG00000197852.12",872.929541881138,3.016559161381,0.200037594639565,15.0799611783792,2.19397928785491e-51,3.41068509656967e-48,"protein_coding","INKA2"
"ENSG00000260912.1",260.565071329807,4.35989873373625,0.289774407241856,15.0458378130589,3.67649404714711e-51,4.59586265853703e-48,"lncRNA","AL158206.1"
"ENSG00000177076.6",368.353304339566,4.04320095983407,0.270135608676566,14.9673009776175,1.20097172521697e-50,1.40746380122147e-47,"protein_coding","ACER2"
"ENSG00000115129.14",1042.638799341,3.70376583179678,0.249007021108859,14.8741421639577,4.85163836873417e-50,5.35135712071379e-47,"protein_coding","TP53I3"
"ENSG00000133195.11",761.829786992536,-1.70978686664584,0.115332187340585,-14.8248889236507,1.01147081573373e-49,1.05367162587907e-46,"protein_coding","SLC39A11"
"ENSG00000186529.16",401.114358945058,6.34678562513186,0.442086827145387,14.3564232983685,9.71111626823609e-47,9.58384953398394e-44,"protein_coding","CYP4F3"
