"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","gene_name"
"ENSG00000080546.13",1999.841453898,1.70450023422283,0.132775138663049,12.8374954180875,1.01092328634422e-37,1.49202167831543e-33,"protein_coding","SESN1"
"ENSG00000124762.14",5381.71946547895,2.98528547318494,0.240031167504085,12.4370743359157,1.64416454765155e-35,1.21331122793946e-31,"protein_coding","CDKN1A"
"ENSG00000186529.16",401.114358945058,5.32543484445423,0.444328120956839,11.9853653038798,4.23971227999995e-33,2.08579711801731e-29,"protein_coding","CYP4F3"
"ENSG00000135679.25",27490.8757472918,1.37362187707038,0.132939881702626,10.3326545764727,5.01530777169896e-25,1.85052318506263e-21,"protein_coding","MDM2"
"ENSG00000134574.12",2828.40703493922,1.08695215352661,0.107529667963308,10.1083930985215,5.07091475338348e-24,1.49683261690374e-20,"protein_coding","DDB2"
"ENSG00000107796.13",182.598400008194,2.72032025136789,0.277363041085066,9.80779645595818,1.04219481836106e-22,2.56362555403181e-19,"protein_coding","ACTA2"
"ENSG00000064115.11",6379.24610239496,1.07844230772607,0.113058465539399,9.53880191616658,1.44491877405859e-21,3.04650802661868e-18,"protein_coding","TM7SF3"
"ENSG00000130513.6",488.183221748909,5.1753796104827,0.568554411280349,9.10269889354664,8.81144501511344e-20,1.62560146222574e-16,"protein_coding","GDF15"
"ENSG00000183508.5",426.465485734364,2.29880509211505,0.255917154100659,8.98261431592375,2.64408045434535e-19,4.33599815840923e-16,"protein_coding","TENT5C"
"ENSG00000136048.14",504.334977103504,1.48288229855524,0.166469076835155,8.90785440003159,5.20296655137626e-19,7.67905833317622e-16,"protein_coding","DRAM1"
"ENSG00000182568.17",819.858481106584,1.37502564777084,0.154853750866965,8.87951141042837,6.71546766542289e-19,9.01032611581604e-16,"protein_coding","SATB1"
"ENSG00000197852.12",872.929541881138,1.7297811357453,0.202592554058957,8.53822660847602,1.36297425736879e-17,1.6763447553755e-14,"protein_coding","INKA2"
"ENSG00000261804.2",261.071899692113,4.72333598304472,0.556750067256256,8.48376365057664,2.18024399238526e-17,2.47524777566261e-14,"lncRNA","AC007342.4"
"ENSG00000228526.7",104.351924544734,3.56387368832729,0.433999216940406,8.21170534235472,2.18068885531704e-16,2.29891334397316e-13,"lncRNA","MIR34AHG"
"ENSG00000100298.15",95.0530752922441,4.24983767970035,0.520513608107669,8.16470042954431,3.22233885541842e-16,3.17056661114136e-13,"protein_coding","APOBEC3H"
"ENSG00000220785.7",395.199186307156,1.90586414344031,0.235501551680337,8.09278805104127,5.83142857784799e-16,5.37912839877866e-13,"transcribed_unprocessed_pseudogene","MTMR9LP"
"ENSG00000161513.12",4111.65684795466,1.86839871029468,0.231776934161349,8.06119347921829,7.55531366575793e-16,6.55934555252478e-13,"protein_coding","FDXR"
"ENSG00000135423.13",180.316870247002,3.52068652613668,0.440113847133193,7.99949047063543,1.24935118322483e-15,1.02439856184529e-12,"protein_coding","GLS2"
"ENSG00000260912.1",260.565071329807,2.35459507650139,0.298546178941709,7.88687058346548,3.09858448020653e-15,2.40694780754569e-12,"lncRNA","AL158206.1"
"ENSG00000188157.15",253.119954493568,2.40866640821831,0.319547686979103,7.53773695246878,4.78197213365079e-14,3.5288563360276e-11,"protein_coding","AGRN"
"ENSG00000135926.15",432.889898653319,1.83555548343286,0.244470349301948,7.50829492686551,5.9902432017752e-14,4.20999997214286e-11,"protein_coding","TMBIM1"
"ENSG00000162643.13",525.850519316602,2.40809118997282,0.323947834513558,7.43357705597517,1.0569957042048e-13,7.09099981743576e-11,"protein_coding","WDR63"
"ENSG00000115129.14",1042.638799341,1.86442485194208,0.251452547355355,7.41461906650425,1.21974884303474e-13,7.50094715597905e-11,"protein_coding","TP53I3"
"ENSG00000177076.6",368.353304339566,2.05951520410158,0.277586972661989,7.41935107527329,1.1769555546544e-13,7.50094715597905e-11,"protein_coding","ACER2"
"ENSG00000140545.15",230.30719517836,2.07306098530523,0.282140289154364,7.34762479870792,2.01759891423227e-13,1.19110969500616e-10,"protein_coding","MFGE8"
