"ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_type","gene_name"
"ENSG00000171791.13",2104.40885801782,5.07265582361469,0.255353390592021,19.8652377861678,8.13658975385639e-88,1.44448877900212e-83,"protein_coding","BCL2"
"ENSG00000138617.15",445.730941621599,-1.74326079278941,0.151216462923728,-11.5282473818257,9.50591741445682e-31,8.4379275929426e-27,"protein_coding","PARP16"
"ENSG00000204604.12",1100.5385175618,1.30833954332645,0.115050157371942,11.3719057254025,5.77135540472586e-30,3.41529575000327e-26,"protein_coding","ZNF468"
"ENSG00000162772.17",495.789195852187,2.1921375547445,0.201730362795219,10.8666713546229,1.66152569545322e-27,7.37426641784524e-24,"protein_coding","ATF3"
"ENSG00000125740.14",143.465822611396,-2.04433132022874,0.19587154511453,-10.4371021274855,1.67856684710453e-25,5.95991944732935e-22,"protein_coding","FOSB"
"ENSG00000171469.11",961.449827664032,1.07802974236424,0.108992425709476,9.89086842821327,4.56054320961377e-23,1.34938872667122e-19,"protein_coding","ZNF561"
"ENSG00000235513.2",113.273082681726,3.97452279921157,0.405637201953098,9.79822062689192,1.14586327550799e-22,2.9060729614419e-19,"lncRNA","L3MBTL2-AS1"
"ENSG00000152454.4",385.667460322454,1.40724982949809,0.147662508207136,9.53017693241435,1.57015390849232e-21,3.48436779218303e-18,"protein_coding","ZNF256"
"ENSG00000276900.1",126.255136926097,-2.29400135473185,0.241595989698006,-9.49519633003571,2.19796800666229e-21,4.33561400247507e-18,"lncRNA","AC023157.2"
"ENSG00000136925.15",913.260618733758,0.984660202502655,0.104093554029614,9.45937730421356,3.09782460032402e-21,5.49956801295523e-18,"protein_coding","TSTD2"
"ENSG00000161011.20",4630.33104588307,1.34099017941754,0.14499866829492,9.24829307183723,2.28106165987277e-20,3.68142614979284e-17,"protein_coding","SQSTM1"
"ENSG00000198538.11",1053.34991444018,0.942257006325555,0.102414713996312,9.20040655837295,3.56597974566218e-20,5.27556986872839e-17,"protein_coding","ZNF28"
"ENSG00000279901.1",61.2911251984494,-2.32771645503829,0.258437235615711,-9.00689271610824,2.11977274846864e-19,2.89479427719722e-16,"TEC","AC092117.2"
"ENSG00000139190.16",1055.24939047881,-1.03534615913578,0.116489113901107,-8.88792200801469,6.22623591200745e-19,7.89531186756202e-16,"protein_coding","VAMP1"
"ENSG00000101255.11",1561.93024223051,1.83769001915452,0.20732630505211,8.86375715176434,7.73621690383244e-19,9.15607057958249e-16,"protein_coding","TRIB3"
"ENSG00000106366.9",115.47969250589,2.16403646370787,0.24502261267425,8.8319867300774,1.02832647513764e-18,1.14099249456991e-15,"protein_coding","SERPINE1"
"ENSG00000111266.9",335.24932440161,1.41934618239398,0.161964477920614,8.76331773865666,1.89586318498018e-18,1.97983877193842e-15,"protein_coding","DUSP16"
"ENSG00000033327.13",46.3465704772216,4.53843854924528,0.519892653864858,8.72956852824664,2.55646018802091e-18,2.52137987321862e-15,"protein_coding","GAB2"
"ENSG00000143507.18",317.553634272605,1.48176499444307,0.17102921475872,8.66381218281027,4.56244822002665e-18,4.26300753948069e-15,"protein_coding","DUSP10"
"ENSG00000178096.9",73.7808741737932,-2.47459975540144,0.287080076989783,-8.61989372912667,6.70162793517514e-18,5.94870003665821e-15,"protein_coding","BOLA1"
"ENSG00000188283.11",432.232795373918,1.1856241800065,0.138124664410653,8.58372532570703,9.18491331642302e-18,7.76475076697418e-15,"protein_coding","ZNF383"
"ENSG00000211637.2",54.3914291731159,-2.70226962507425,0.320209047741021,-8.43907954549676,3.19846375203429e-17,2.58101486317567e-14,"IG_V_gene","IGLV4-69"
"ENSG00000180257.13",496.474372736295,1.41447900697411,0.170385405514891,8.30164416194961,1.02680357145577e-16,7.92558426263231e-14,"protein_coding","ZNF816"
"ENSG00000286113.1",70.5090356474284,-2.95570793959001,0.360407023940965,-8.20102756952417,2.38340858060929e-16,1.76302718881486e-13,"lncRNA","AC022868.2"
